gender,age,education_level,employment_type,city_type,monthly_expense,monthly_income,owns_car,internet_usage_hours,subscribed_newsletter
Non-binary,48,Master,Part-time,Rural,3120.23,4131.12,No,4.5,1
Non-binary,25,PhD,Full-time,Rural,2277.82,3572.22,No,8.7,0
Female,56,Bachelor,Full-time,Rural,5629.21,4544.57,Yes,8,0
Female,43,,Part-time,Rural,3912.37,6961.37,Yes,3.8,1
Female,51,PhD,Full-time,Urban,1402.29,4434.08,Yes,3.1,0
Male,20,Master,Unemployed,Urban,2483.74,4433.52,Yes,5.1,0
Male,29,Master,Part-time,Suburban,3931.78,4975.4,No,8,1
Male,18,High School,Part-time,Urban,2200.46,4391.56,No,9.6,1
Non-binary,61,High School,Part-time,Urban,3351.55,4898.91,Yes,7.9,0
Female,22,,Unemployed,Suburban,3950.8,5811.3,No,8.7,0
Non-binary,47,Bachelor,Part-time,Suburban,-388.43,6327.13,Yes,6.4,1
Male,47,Master,Unemployed,Suburban,2891.96,6504.82,Yes,,0
Female,34,Master,Part-time,Urban,2931.21,8085.28,No,8.1,0
Non-binary,64,PhD,Freelance,Urban,2587.93,5854.04,No,4.4,1
Female,40,High School,Full-time,Suburban,3301.7,8351.72,Yes,6,1
Non-binary,32,Bachelor,Freelance,Rural,3657.52,3835.28,Yes,8.2,0
Female,54,High School,Full-time,Suburban,3142.05,8136.93,Yes,1.4,0
Male,38,High School,Unemployed,Rural,2626.17,4429.44,No,,0
Male,31,High School,Freelance,Rural,3632.62,4576.97,No,2.6,1
Female,19,High School,Part-time,Suburban,3049.05,4820.19,No,5.6,0
Non-binary,28,Master,Full-time,Suburban,2769.3,4672.07,No,8.3,0
Male,56,Master,Full-time,Suburban,1687.72,5128.76,Yes,3.3,1
Male,55,High School,Freelance,Urban,,4129.96,Yes,3.2,1
Male,51,Bachelor,Unemployed,Rural,1668.77,6244.94,Yes,4.6,0
Female,55,PhD,Freelance,Urban,3278.33,4170.75,Yes,9.1,1
Female,51,Bachelor,Unemployed,Urban,2920.92,5983.42,Yes,1,1
Non-binary,35,Bachelor,Unemployed,Suburban,1519.72,7291.59,Yes,9.1,0
Non-binary,47,Bachelor,Full-time,Urban,3645.92,4464.35,No,2.4,1
Non-binary,32,High School,Freelance,Suburban,4374.31,6191.58,No,,1
